,url,price,title,location,type,area,purpose,baths,beds,description,
10,https://www.zameen.com/Property/lahore_valencia_housing_society_1_kanal_beautifully_designed_lavish_house_for_sale_in_valencia_housing_society_lahore-53096767-373-1.html,7 Crore,1 Kanal Beautifully designed Lavish house For Sale In Valencia Housing Society Lahore.,"Valencia Housing Society, Lahore, Punjab",House,1 Kanal,For Sale,5,5,- 1 Kanal Beautiful House Includes:5 Bedrooms5 Bathrooms2 Kitchen2 TV LoungeDrawing DiningA+ Grade Material UsedReady to MoveUltra Luxury HouseIdeal LocationDeveloped AreaPeaceful EnvironmentGood CommunityAll Modern Amenities,
11,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_ghouri_block_10_marla_house_for_sale_in_ghouri_block_bahria_town_lahore-49438144-1776-1.html,3.3 Crore,10 Marla House For Sale In Ghouri Block Bahria Town Lahore,"Bahria Town, Lahore, Punjab",House,10 Marla,For Sale,6,5,"Haidari Developers Offers best Opportunity in Bahria Town LahoreBeautiful ParksCinemasHospitalsSchoolsEiffel Tower (Replica)Health ClubsShopping MallsRestaurantsRecreational CentersWorld Class MosquesHighly Maintained Parks24 Hours Security PatrollingFire Fighting FacilityGarbage CollectionUninterrupted Power Supply with Backup Electric Generators-24 hours on call maintenance facilitySafari ZooA great opportunity has presented itself in the form of this beautiful House in Bahria Town Lahore. The House is located on a prime location close to a commercial area and other amenities of the town.The block has underground wiring, wide foot paths, street lights, 24 hours water supply, uninterrupted power supply, garbage collection facility, 24 hours security and etc.Bahria Town compels a large number of people to move in and build their dream houses on a land closed to vast amenities like Hospitals, Schools, Health Clubs, Shopping Malls, Cinemas, Restaurants, Beautiful Parks, Recreational Centres, Beautiful Mosques, Safari Zoo and many more.Haideri Developers is registered under the regulation of the business of real estate in Pakistan (regulation of business ordinance,(2014) Haideri Developers is well known for the marketing of properties of special appeal. To our honourable customers we provide ourselves with professionalism, presentation and quality of service. We cover most of the well-known societies of Lahore and Islamabad.Haideri Developers will provide initial advice for free and the enquiry will be handled by one of our fully qualified Consultant or Director. We have built an enviable reputation for selling a varied portfolio of properties. Haideri Developers is a family business offering the highest standard of service in all aspects, we pay close attention to our customer needs and guide them with the best of our knowledge. Bearing in mind the long term relation with the customer Haideri Developers provides genuine property and gives excellent after sales services.Whether you are interested in buying, selling or renting, a phone call will put you in touch with our experienced property expert who will serve you with excellent service. . .",
12,https://www.zameen.com/Property/paragon_city_paragon_city_-_imperial_2_block_brand_new_modern_5_marla_house_for_sale_in_paragon_city_imperial_2_block-52936129-9247-1.html,2.3 Crore,Brand New Modern 5 Marla House For Sale In Paragon City Imperial 2 Block!,"Paragon City, Lahore, Punjab",House,5 Marla,For Sale,3,3,"Bukhari Estate OffersBrand New Modern 5 Marla House for Sale in Paragon City Imperial 2 Block!Looking for a stylish and contemporary home in a prime location?This 5 Marla Brand New Modern Design House in Imperial 2 Block, Paragon City is the perfect choice!3 Spacious Bedrooms with Attached BathsModern Kitchen & Comfortable TV LoungeStore Room & Dedicated Car ParkingClose to Schools, Parks, Mosques & MarketsPeaceful Environment with 24/7 SecurityDemand: 230 LacIdeal for Living or Investment!Contact now to schedule a visit!",
13,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_c_10_marla_house_for_sale_janiper_block_bahria_town_lahore-53095358-1784-1.html,3.6 Crore,10 Marla House For Sale Janiper Block Bahria Town Lahore,"Bahria Town, Lahore, Punjab",House,10 Marla,For Sale,5,4,"10 Marla 1St Entry House For Sale Janiper Block Sector C Bahria Town Lahore Near To Park, Masjid, School Main Commercial Market Prime location of Sector C Janiper Block Contact Now for visit and more information",
14,https://www.zameen.com/Property/etihad_town_etihad_town_phase_1_5_marla_brand_new_luxury_house_for_sale_in_etihad_town_phase_1-52889138-16882-1.html,3.25 Crore,5 Marla Brand New Luxury House For Sale In Etihad Town Phase 1,"Raiwind Road, Lahore, Punjab",House,5 Marla,For Sale,6,5,"Al Hadi Estate & Builders Offers Best Investment Opportunities.5 Marla Brand New Spanish House For Sale In Etihad Town phase 1 Lahore .5 Master Bedrooms 6 Bathrooms 2 Kitchen 2 TVL Drawing Dinning Store Powder Room All Tiled Flooring Solid Doors Imported Fittings AAA Construction Outclass Elevation Very Big Car Porch Very Big House Due To Map Design.Spacious Garage. Huge Car ParkingTransferable HouseExcellent InvestmentThis Very Private Home Is Highly Adaptable To Contemporary Living And Entertaining.Situated On One Of The Most Desirable And Beautiful Town.Well Appointed Bedrooms & Attached Bath Room, Spanish Tiled Imported Kitchen, Lavish Drawing, Dining And Tv Lounge. Huge Car Parking Space, Ash Wood Work, A Separate Stairs.if You Want To Buy This Property Or To Get More Information About Its. To Assist You And Take You To A Mini Tour.Al Hadi Estate & Builders Deals In Sale And Purchase Of Properties And Rental Properties As Well. With More Than 29 Years Of Experience And Expertise Of Property Management, You Can Trust Us To Deliver.More Option Are Also Available. .For More Information Please Contact Us.",
15,https://www.zameen.com/Property/johar_town_johar_town_phase_2_5_marla_triple_story_build_used_house_with_direct_owner_meeting_for_sale_in_johar_town_phase_2-52890554-3961-1.html,2.5 Crore,5 Marla Triple Story Build Used House With Direct Owner Meeting For Sale In Johar Town Phase 2,"Johar Town, Lahore, Punjab",House,5 Marla,For Sale,6,7,"Al Hadi Estate & Builders Offers Best Investment Opportunities.All Original pictures attached5 Marla Owner Build Used House For Sale In Johar Town Lahore .Direct Owner Meeting7 Master Bedrooms 8 Bathrooms 3 Kitchen 3 TVL Drawing Dinning Store Powder Room All Tiled Flooring Solid Doors Imported Fittings AAA Construction Outclass Elevation Very Big Car Porch Very Big House Due To Map Design.Spacious Garage. Huge Car ParkingTransferable HouseExcellent InvestmentThis Very Private Home Is Highly Adaptable To Contemporary Living And Entertaining.Situated On One Of The Most Desirable And Beautiful Town.Well Appointed Bedrooms & Attached Bath Room, Spanish Tiled Imported Kitchen, Lavish Drawing, Dining And Tv Lounge. Huge Car Parking Space, Ash Wood Work, A Separate Stairs.if You Want To Buy This Property Or To Get More Information About Its. To Assist You And Take You To A Mini Tour.Al Hadi Estate & Builders Deals In Sale And Purchase Of Properties And Rental Properties As Well. With More Than 29 Years Of Experience And Expertise Of Property Management, You Can Trust Us To Deliver.More Option Are Also Available. .For More Information Please Contact Us.",
16,https://www.zameen.com/Property/lahore_super_town_3_marla_house_for_sale_main_boulevard_defence_road_opposite_adil_hospital-52982451-8504-1.html,1.35 Crore,3 Marla House For Sale Main Boulevard Defence Road Opposite Adil Hospital,"Super Town, Lahore, Punjab",House,3 Marla,For Sale,3,3,"3 Bed Attached 3bath TV Lounge Drawing Room Car ParkingYou can be the owner of a beautiful property that just popped up for sale, so don't miss this opportunity. Your family will later thank you for investing in the House. Purchase your dream property in Super Town. Are you looking for property in Super Town? Your search is over! Your future self will thank you for investing in 3 Marla property today. Trust us when we say, this property at Rs. 13500000 is the best investment you could wish for!We have the answers to your questions - so call us today!",
17,https://www.zameen.com/Property/paragon_city_paragon_city_-_imperial_1_block_stylish_10_marla_brand_new_house_for_sale_in_paragon_city_imperial_1_block_modern_design_prime_location-52791876-9246-1.html,4.55 Crore,Stylish 10 Marla Brand New House For Sale In Paragon City Imperial 1 Block | Modern Design & Prime Location!,"Paragon City, Lahore, Punjab",House,10 Marla,For Sale,5,4,"Bukhari Estate OffersStylish 10 Marla Brand New House for Sale in Paragon City Imperial 1 Block | Modern Design & Prime Location!Upgrade your lifestyle with this beautifully constructed 10 Marla Brand New House located in the prestigious Imperial 1 Block, Paragon City. Designed with modern fittings and elegant interiors, its perfect for families seeking comfort and style.Property Features:4 Spacious Bedrooms with Attached Bathrooms2 Modern Kitchens with High-End FixturesComfortable TV Lounge & Store Room2-Car Parking SpaceBrand New Construction with Premium FinishingPeaceful, Secure & Well-Developed AreaClose to Parks, Mosques, Markets & All NecessitiesDemand: 455 Lac OnlyImperial 1 Block Paragon City, LahoreContact now for more details or to arrange a visit!",
18,https://www.zameen.com/Property/paragon_city_paragon_city_-_woods_block_10_marla_brand_new_modern_design_house_for_sale_woods_block_paragon_city_stylish_living_at_a_great_price-52791922-4114-1.html,4.9 Crore,"10 Marla Brand New Modern Design House For Sale Woods Block, Paragon City | Stylish Living At A Great Price!","Paragon City, Lahore, Punjab",House,10 Marla,For Sale,5,4,"Bukhari Estate Offers,10 Marla Brand New Modern Design House for Sale Woods Block, Paragon City | Stylish Living at a Great Price!Discover elegance and comfort in this 10 Marla Brand New House located in the prime Woods Block of Paragon City. Featuring a sleek modern design and top-notch finishing, this home is perfect for contemporary family living.Key Features:Modern Architectural Design & LayoutSpacious Bedrooms with Attached BathroomsElegant Kitchen, TV Lounge & Store RoomQuality Construction with Premium FixturesPeaceful & Secure Gated CommunityClose to Park, Mosque, and Commercial AreaIdeal for Living or InvestmentDemand: 490 Lac Only Excellent Value!Woods Block Paragon City, LahoreContact now to schedule a visit or for more details!",
19,https://www.zameen.com/Property/paragon_city_paragon_city_-_orchard_1_block_10_marla_brand_new_victoria_design_house_for_sale_orchard_1_block_paragon_city_elegant_architecture_modern_living-52791926-9249-1.html,5.4 Crore,"10 Marla Brand New Victoria Design House For Sale Orchard 1 Block, Paragon City | Elegant Architecture & Modern Living!","Paragon City, Lahore, Punjab",House,10 Marla,For Sale,5,4,"Bukhari Estate10 Marla Brand New Victoria Design House for Sale Orchard 1 Block, Paragon City | Elegant Architecture & Modern Living!Step into timeless elegance with this beautifully crafted 10 Marla Brand New Victoria Style House located in the prestigious Orchard 1 Block, Paragon City. A perfect blend of classic charm and modern functionality!Property Features:Victoria-Inspired Elevation & Interior Design4 Spacious Bedrooms with Attached BathroomsStylish Kitchen, Cozy Lounge & Dining SpaceElegant Finishes & Premium FixturesBrand New Construction with Quality WorkmanshipPeaceful Environment Secure Gated CommunityNear Park, Mosque, and Commercial AreaDemand: 540 Lac OnlyOrchard 1 Block Paragon City, LahoreContact now to arrange a visit or get more information!",
20,https://www.zameen.com/Property/paragon_city_paragon_city_-_executive_block_beautiful_5_marla_bungalow_for_sale_in_paragon_city_executive_block-52947265-4116-1.html,1.9 Crore,Beautiful 5 Marla Bungalow For Sale In Paragon City Executive Block!,"Paragon City, Lahore, Punjab",House,5 Marla,For Sale,3,3,"Bukhari Estate Offers,Beautiful 5 Marla Bungalow for Sale in Paragon City Executive Block!Discover comfort and convenience in this well-maintained 5 Marla bungalow, located in the sought-after Executive Block of Paragon City. A perfect family home with modern fittings and easy access to all necessities!Property Features:3 Bedrooms with Attached BathroomsFully Equipped KitchenSpacious LoungeStore RoomCar Parking SpaceClose to Schools, Markets, Mosques & ParksDemand: 185 LacIdeal for small families or smart investors seeking value in a well-developed society.Call now to book your visit and explore this gem!",
21,https://www.zameen.com/Property/etihad_town_phase_1_etihad_town_phase_1_-_block_c_5_marla_brand_new_house_for_sale-52897215-21456-1.html,3 Crore,5 MARLA BRAND NEW HOUSE FOR SALE,"Raiwind Road, Lahore, Punjab",House,5 Marla,For Sale,4,4,"Dear Customers,We have 5 Marla Brand New House at prime location of Lahore situated at Raiwind Road, Etihad Town Block C.Beautifully designed house with double heighted Drawing Room. Neat and clean environment with all utilities.All your queries regarding this property are welcome, So please contact us.Thanks & Regards;",
22,https://www.zameen.com/Property/paragon_city_paragon_city_-_imperial_1_block_5_marla_double_unit_used_owner_build_well_maintained_house_available_for_sale-52937138-9246-1.html,2.15 Crore,5 Marla Double Unit Used Owner Build Well Maintained House Available For Sale,"Paragon City, Lahore, Punjab",House,5 Marla,For Sale,4,3,"Bukhari Estate Offers 5 marla Beautiful Owner Maintained House for sale in Most Develop Locality of Paragon City ,Block :: Imperial 1With 3 Spacious Bedrooms , Two Huge Tv Lounges With Well Maintained Kitchen near Beautiful Lush Green ParkFully Develop Commercial Market with Different Food Resturent's , Famous Branded Grocery Store like Al-Fateh at its walking Distance , Near Beautiful Big MosqueBeautiful Atmosphere and Community to live in a Peaceful Environment at very reasonable Price",
23,https://www.zameen.com/Property/paragon_city_paragon_city_-_imperial_2_block_brand_new_modern_5_marla_house_for_sale_in_paragon_city_imperial_2_block-52947327-9247-1.html,2.3 Crore,Brand New Modern 5 Marla House For Sale In Paragon City Imperial 2 Block!,"Paragon City, Lahore, Punjab",House,5 Marla,For Sale,3,3,"Bukhari Estate OffersBrand New Modern 5 Marla House for Sale in Paragon City Imperial 2 Block!Looking for a stylish and contemporary home in a prime location?This 5 Marla Brand New Modern Design House in Imperial 2 Block, Paragon City is the perfect choice!3 Spacious Bedrooms with Attached BathsModern Kitchen & Comfortable TV LoungeStore Room & Dedicated Car ParkingClose to Schools, Parks, Mosques & MarketsPeaceful Environment with 24/7 SecurityDemand: 230 LacIdeal for Living or Investment!Contact now to schedule a visit!",
24,https://www.zameen.com/Property/paragon_city_paragon_city_-_imperial_2_block_5_marla_brand_new_house_available_for_reasonable_price-52948014-9247-1.html,2.15 Crore,5 Marla Brand New House Available For Reasonable Price,"Paragon City, Lahore, Punjab",House,5 Marla,For Sale,4,3,"Bukhari Estate Offers 5 marla Beautiful brand new House for sale in Most Develop Locality of Paragon City ,Block :: Imperial 2With 3 Spacious Bedrooms , Two Huge Tv Lounges With Kitchen near Beautiful Lush Green Park, Commercial Market with Different Food Resturent's , Famous Branded Grocery Store like Al-Fateh at its walking Distance , Near Beautiful Big MosqueBeautiful Atmosphere and Community to live in a Peaceful Environment at very reasonable Price",
25,https://www.zameen.com/Property/dha_defence_dha_phase_6_one_kanal_luxury_ultra-modern_design_most_beautiful_fully_furnished_bungalow_2_servant_quarter_in_basement_for_sale_at_prime_location_of_dha_lahore_near_to_dha_raya_fairways_commercial-52993495-1448-1.html,8.75 Crore,One Kanal Luxury Ultra-Modern Design Most Beautiful Fully Furnished Bungalow 2 Servant Quarter In Basement For Sale At Prime Location Of DHA Lahore Near To DHA Raya Fairways Commercial,"DHA Defence, Lahore, Punjab",House,1 Kanal,For Sale,6,5,BELIEVERS REAL ESTATEAbout The Property:05 Master Size Bed Rooms With Attached BathAll Baths Are Equipped With Imported Fittings2 Kitchen Amazing Wood Work2 TV LoungeStore RoomPrayer Room2 Servant Quarter In BasementDrawing Room And Dining RoomAmazing Wood Work In BungalowHouse Is Located Near Park/MosqueNear By Commercial AreaComplete Wiring Of UPS And Generator Done In The HouseSolid Steel Work Used For Outside Main GateComplete Marble/Tiled/Wooden FlooringAll The Construction Near And Adjacent To House Is NewWashing Area Is Elegantly Managed At The Back Side Of HouseGood Sizes Of Washrooms With Large Wardrobes In It.Superb ElevationHouse Location Is ExcellentMain Hospitals Are So Nearby That Hardly Just 5 Minutes AwayExclusive Views From The Terrace.Spacious Terrace Where One Can Easily Have Good Walk And Reasonable Sitting Area.All The Basic Necessities Of Life Are Available.All The Basic Utilities Are Available Including Connections Of Water/Sewage/Gas And Electricity.If You Cant Access Please Feel Free To Contact Us.,
26,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_ultra_modern_house_for_sale_near_park_in_dha_phase_9_town_lahore-53094759-1452-1.html,2.18 Crore,5 Marla Ultra Modern House For Sale Near Park in DHA Phase 9 Town Lahore,"DHA Defence, Lahore, Punjab",House,5 Marla,For Sale,4,3,"BELIEVERS REAL ESTATELocated On Main 100 Ft Road3-Master Bedrooms With Attached Branded Bathrooms.Designed Walls And Ceilings.All Baths Are Equipped With Imported Grohe Fitting.Amazing Woodwork All Teak Wood Ash Wood Used In A BungalowBathtubs Jacuzzi Installed.House Is Located Near The Park Mosque And Commercial Market.Double Storey House,Beautiful Terrace With A Beautiful View.Solid Steel Work Used For The Outside Main Gate.Complete Marble Tiled Wooden Flooring.Wash Rooms Are Completely Covered By Spanish Italian Tiles.All The Construction Is Done Under The Supervision Of The Best Architecture.Planters All Around In The Lawn.Beautiful Lawn With A Complete Variety Of Planters.Side Streets Are Properly Covered With TilesHouse Is Completed According To DHA By-Laws",
27,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_u_fully_furnished_house_with_solar_12_kva_near_carrefour_park_mosque-52403361-1628-1.html,7.75 Crore,"FULLY FURNISHED HOUSE WITH SOLAR 12 KVA NEAR CARREFOUR, PARK & MOSQUE","DHA Defence, Lahore, Punjab",House,1 Kanal,For Sale,6,5,"FULLY FURNISHED WITH SOLAR 12 KVA NEAR CARREFOUR, PARK & MOSQUE IN DHA PHASE 7Bungalow Details:Covered Area: 5400 Sq Ft.1 Kanal House Located On 50 Feet Road Five Minute Walking Distance From Main Mosque.",
